,Complexity,All-type Constraints,Vespa INF runtime,NAND Constraints,Num Of Graph,Vespa INF success,benchmark#
70,584,10,0.04879,7,9,2,805
71,586,11,1.98741,7,378,2,803
72,587,15,0.21356,10,36,2,729
73,587,13,1.02859,6,216,2,787
74,588,15,5.19243,10,729,2,629
75,589,13,0.11773,9,22,2,724
76,590,10,0.16301,4,1,2,685
77,590,13,0.09382,9,7,2,716
78,590,15,0.20487,7,40,2,722
79,591,12,0.72463,6,126,2,781
80,592,10,0.1177,6,3,2,753
81,595,13,0.02652,7,3,2,727
82,595,11,0.06742,5,1,2,744
83,595,13,0.07769,4,1,2,862
84,598,13,0.05994,4,5,2,804
85,598,10,0.08327,5,1,2,863
86,599,10,0.07882,8,1,2,745
87,600,13,0.22023,6,1,2,689
88,607,12,0.30292,4,1,2,705
89,610,15,0.24998,7,1,2,688
90,610,13,0.18848,7,34,2,730
91,610,15,0.33533,8,4,2,756
92,612,13,1.70901,8,198,2,630
93,615,13,0.10166,5,1,2,717
94,615,14,0.12452,9,1,2,749
95,617,10,0.0582,3,1,2,748
96,618,11,0.13841,8,3,2,628
97,618,15,0.19725,9,1,2,751
98,624,14,0.02985,4,45,2,895
99,626,11,0.12981,3,1,2,712
100,629,11,0.06594,4,25,2,647
101,631,12,0.03766,5,3,2,725
102,632,12,0.13631,8,1,2,711
103,635,15,0.12847,5,135,2,893
104,639,11,0.136,5,23,2,641
105,639,11,0.48612,6,1,2,760
106,645,11,0.03282,2,9,2,644
107,647,11,0.07689,7,5,2,788
108,649,14,0.15559,8,5,2,624
109,653,13,1.67223,8,69,2,625
110,655,10,0.08518,6,1,2,782
111,656,12,10.03937,7,648,2,891
112,660,12,0.26763,5,72,2,609
113,660,10,0.12118,6,15,2,646
114,662,12,0.05458,7,1,2,642
115,665,12,15.47781,7,675,2,892
116,666,14,0.11037,6,27,2,603
117,667,11,0.08106,4,1,2,741
118,668,11,0.03809,4,1,2,865
119,670,13,0.57677,10,106,2,602
120,673,12,0.13459,5,42,2,606
121,673,11,0.34429,5,81,2,610
122,673,15,74.68647,9,2025,2,899
123,675,15,3.17131,7,378,2,696
124,676,12,0.0169,6,1,2,728
125,678,15,0.90995,8,5,2,786
126,678,13,0.05222,3,8,2,898
127,680,11,2.25355,4,3,2,807
128,684,10,4.13317,7,378,2,635
129,687,14,0.40936,5,81,2,636
130,688,15,0.38647,6,1,2,626
131,690,14,0.02242,8,1,2,721
132,691,15,3.25098,9,78,2,627
133,691,10,0.29832,6,43,2,694
134,691,12,0.3656,6,126,2,853
135,691,15,78.30578,11,2808,2,855
136,693,12,0.21362,3,15,2,634
137,694,12,0.833,9,3,2,789
138,695,15,2.7789,7,360,2,700
139,696,10,0.03452,8,1,2,650
140,697,10,3.08776,7,360,2,691
141,699,11,0.0829,4,25,2,857
142,699,13,0.1789,6,5,2,896
143,700,14,0.01693,6,1,2,601
144,700,10,0.08326,4,1,2,643
145,700,10,0.02821,5,1,2,726
146,705,13,1.47587,6,26,2,638
147,706,14,1.62576,7,72,2,640
148,708,15,15.7479,7,729,2,894
149,710,15,0.07396,7,1,2,631
150,712,13,0.15521,7,27,2,859
151,713,15,1.43878,10,18,2,621
152,713,12,1.33102,6,33,2,639
153,715,10,0.03631,5,1,2,604
154,717,12,0.1143,5,15,2,900
155,719,11,1.17717,8,9,2,697
156,719,14,0.12476,9,3,2,785
157,720,15,0.51277,8,3,2,790
158,721,12,0.05353,2,3,2,699
159,724,10,0.08664,4,1,2,784
160,725,13,0.02025,6,1,2,605
161,725,11,0.01879,7,1,2,608
162,727,11,0.33761,7,45,2,851
163,730,10,0.08119,4,9,2,695
164,732,12,0.0217,8,1,2,607
165,733,15,20.98279,7,1215,2,698
166,736,13,0.88002,8,3,2,783
167,745,10,0.07589,6,1,2,633
168,745,12,0.07631,7,5,2,692
169,746,15,0.40614,4,1,1,858
170,748,14,0.09926,4,1,2,860
171,748,13,3.3787,7,9,2,897
172,751,11,0.07568,6,1,2,637
173,754,14,0.20106,6,14,2,693
174,758,10,0.04085,3,15,1,738
175,760,10,0.2529,7,21,2,670
176,767,15,0.12155,3,1,2,854
177,767,12,0.11785,6,1,2,856
178,768,10,0.09721,5,1,2,648
179,768,15,913.53008,11,18225,2,793
180,770,14,0.08661,7,1,2,663
181,771,10,0.12315,8,1,2,645
182,772,10,2.75551,7,360,2,735
183,773,13,0.684,7,135,2,739
184,774,11,0.07569,5,11,2,731
185,774,15,1.25198,7,189,2,740
186,774,11,0.06101,3,5,1,773
187,777,13,0.25111,10,1,1,778
188,778,10,0.13985,8,3,2,776
189,778,11,0.15688,7,1,1,780
190,778,14,882.4821,11,16200,2,794
191,782,14,1.62714,7,192,2,734
192,782,14,0.13402,6,9,2,772
193,783,15,0.14977,5,3,2,852
194,784,12,0.12905,3,9,2,737
195,785,14,0.06144,8,1,2,649
196,785,13,0.1638,5,15,2,665
197,786,10,0.23467,4,1,2,632
198,792,12,0.13195,6,7,1,771
199,793,11,2.43484,8,621,2,795
200,797,14,0.10364,8,1,2,666
201,798,10,0.14691,6,1,2,777
202,798,10,0.05234,4,15,2,798
203,801,15,2.83373,8,702,2,791
204,801,12,0.43926,6,126,2,792
205,802,10,0.03861,3,15,2,800
206,807,10,0.08594,9,1,2,668
207,807,14,0.08768,6,1,2,669
208,812,14,0.08684,6,14,2,799
209,812,11,4.60437,7,1215,2,850
210,813,15,0.1151,10,1,2,664
211,813,13,0.09679,6,1,2,667
212,814,13,0.16857,5,1,2,779
213,819,15,0.09068,4,1,2,661
214,823,10,0.18992,6,1,1,775
215,828,14,0.16846,9,15,2,797
216,831,10,11.53172,7,1215,2,765
217,831,14,1.27457,4,45,2,842
218,833,15,2.17634,8,126,2,732
219,836,15,2.5427,6,729,2,841
220,840,10,0.44186,6,9,2,733
221,844,13,0.12619,6,1,2,662
222,844,15,0.26545,9,1,1,774
223,846,14,0.04857,4,45,2,846
224,855,10,0.14043,3,3,2,796
225,855,12,1.92138,7,675,2,843
226,861,12,49.75376,9,6075,1,769
227,861,12,22.79199,9,1170,2,824
228,863,14,8.70129,7,729,2,828
229,863,15,0.31645,7,216,2,848
230,865,10,0.31354,6,44,2,829
231,865,15,979.95256,10,18225,1,844
232,866,11,1.89221,6,216,2,823
233,868,11,2.46009,7,210,2,826
234,885,12,39.6473,7,1215,2,845
235,886,10,2.71152,5,26,2,736
236,901,13,2.9716,7,225,2,674
237,903,12,0.27908,6,17,2,825
238,906,10,0.12187,4,5,2,822
239,907,10,4.60347,6,120,2,763
240,911,15,2.81806,7,200,2,678
241,912,15,0.63861,4,81,2,677
242,912,13,0.18657,7,9,2,827
243,913,11,0.11995,3,3,2,821
244,914,12,9.21675,7,405,2,849
245,916,13,3.02417,6,225,2,767
246,919,13,12.68277,7,351,2,762
247,919,14,0.15939,6,1,2,830
248,925,11,0.20571,7,5,2,672
249,925,12,0.25587,5,9,2,676
250,925,13,302.1932,9,10935,2,847
251,929,11,1.06231,6,65,2,675
252,931,11,2.20342,6,126,2,680
253,932,10,0.16397,6,3,2,671
254,937,13,1.58327,5,135,2,655
255,938,12,195.26376,8,3645,2,659
256,940,14,15.66663,9,330,2,768
257,941,15,1.1066,9,51,2,679
258,944,13,0.16484,5,1,2,673
259,947,11,11.17072,5,135,2,764
260,951,10,3.74933,7,648,2,812
261,952,10,30.27449,7,675,2,770
262,952,13,143.93427,10,3375,2,820
263,956,15,349.48958,11,5250,2,814
264,957,13,16.94456,8,1080,2,819
265,959,14,0.27481,4,45,2,654
266,965,15,0.34697,8,21,2,653
267,966,12,0.37631,4,15,2,817
268,967,10,4.98186,6,225,2,657
269,971,15,22.86923,7,675,2,766
270,972,11,12.35289,6,729,2,651
271,975,10,1.24703,6,70,2,811
272,978,15,0.11571,5,5,2,658
273,978,13,7.81697,7,378,2,815
274,982,15,18.6474,11,1344,2,818
275,986,13,0.95424,6,64,2,660
276,990,15,15.1181,9,891,2,813
277,990,12,9.28529,7,675,2,816
278,991,15,219.83382,10,3240,2,652
279,992,14,0.10105,4,5,2,877
280,994,15,17.4786,4,45,2,761
281,994,12,0.16522,4,8,2,872
282,994,15,0.22081,11,3,2,878
283,994,14,0.16149,10,4,2,880
284,995,10,0.10657,7,5,2,874
285,996,12,1.07326,7,51,2,656
286,997,11,0.18669,5,9,2,879
287,997,11,0.05786,3,27,2,883
288,998,10,0.25058,4,81,2,884
289,998,12,3.64049,7,675,2,887
290,999,10,0.13158,4,3,2,871
291,999,12,0.2031,8,1,2,875
292,999,11,0.29244,4,45,2,881
293,999,14,99.23531,8,3645,2,882
294,999,13,88.10402,9,3240,2,886
295,1000,10,0.08024,3,1,2,873
296,1000,14,0.22076,7,1,2,876
297,1000,13,2.03483,6,405,2,885
298,1000,10,92.20375,8,2025,2,888
299,1000,10,0.20773,4,81,2,889
300,1000,15,33.04622,8,2025,2,890
